"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_run_tool[get_pull_request-get_pull_request]","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test logger called when deletion fails due to an API error.","2","test_delete_page_by_path_logs_error","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperExceptions","test_unit_ado_wiki","",""
"","3","test_get_work_items_exception","src.tests.ado.repos","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test modification fails due to invalid wiki identifier.","3","test_modify_wiki_page_project_not_found","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperNegative","test_unit_ado_wiki","",""
"Test behavior when input is None.","1","test_read_docx_from_bytes_none_input","src.tests.sharepoint","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestSharepointReadDocxFromBytes","test_sharepoin_utils","",""
"Test get test plan exception.","1","test_get_test_plan_error","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"Test generation of diff when no changes exist between base and target files.","1","test_generate_diff_no_changes","src.tests.ado","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestAdoUtils","test_ado_utils","",""
"","1","test_run_tool[get_wiki_page_by_id-get_wiki_page_by_id]","src.tests.ado.wiki","Thu Mar 20 10:51:15 GMT 2025","passed","Thu Mar 20 10:51:15 GMT 2025","TestWikiApiWrapperValidateToolkit","test_unit_ado_wiki","",""
"","3","test_validate_toolkit_connection_error","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"Test successful reading of .docx content from bytes.","35","test_read_docx_from_bytes_positive","src.tests.sharepoint","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestSharepointReadDocxFromBytes","test_sharepoin_utils","",""
"","1","test_create_branch_invalid_name","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test get test plans exception.","2","test_get_test_plans_exception","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"Test retrieval with an exception caused by the API.","1","test_get_test_cases_exception","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"Test successful generation of diff between base and target files.","3","test_generate_diff_positive","src.tests.ado","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestAdoUtils","test_ado_utils","",""
"Test addition with invalid JSON input.","0","test_add_test_case_invalid_json","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","2","test_list_branches_in_repo_success","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test that _run catches an exception and returns a ToolException.","1","test_run_raises_tool_exception","src.tests","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestBaseAction","test_base_tool","",""
"Test behavior when input string is empty.","1","test_clean_string_empty_input","src.tests","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestToolUtils","test_utils","",""
"","2","test_list_files_specified_branch","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_create_pr_success","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","1","test_run_tool[create_test_suite-create_test_suite]","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","2","test_create_branch_success","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test that calling `get_available_tools` directly on `BaseToolApiWrapper` raises NotImplementedError.","2","test_get_available_tools_not_implemented","src.tests","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestBaseToolApiWrapper","test_elitea_base_tool","",""
"","2","test_parse_pull_requests_exception","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test successful deletion of a test suite","1","test_delete_test_suite_success","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"Test deletion with an invalid wiki identifier.","1","test_delete_page_by_id_invalid_identifier","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperNegative","test_unit_ado_wiki","",""
"","1","test_validate_toolkit_missing_parameters_project[project]","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test behavior when diff is empty.","0","test_empty_diff","src.tests.gitlab","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestGitlabUtilsGetDiffWPosition","test_gitlab_utils","",""
"Test deletion with an exception caused by the API","2","test_delete_test_suite_exception","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"Test creation of a test plan with invalid JSON format.","1","test_create_test_plan_invalid_json","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"Test that _run handles a missing name gracefully.","1","test_run_with_missing_name","src.tests","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestBaseAction","test_base_tool","",""
"","1","test_run_tool[list_open_pull_requests-list_open_pull_requests]","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","1","test_run_tool[add_test_case-add_test_case]","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"Test successful getting of all test plans by ids.","1","test_get_all_test_plans_success","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","1","test_run_tool[create_test_plan-create_test_plan]","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","2","test_read_file_not_found_exception","src.tests.ado.repos","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","1","test_list_branches_in_repo_no_branches","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test successful deletion of a wiki page by path.","2","test_delete_page_by_path_success","src.tests.ado.wiki","Thu Mar 20 10:51:16 GMT 2025","passed","Thu Mar 20 10:51:16 GMT 2025","TestWikiApiWrapperPositive","test_unit_ado_wiki","",""
"","1","test_get_pull_request_not_found","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","2","test_list_files_fallback_to_base_branch","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test logger called when extraction fails due to an API error.","2","test_get_wiki_logs_error","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperExceptions","test_unit_ado_wiki","",""
"Test logger called when rename fails due to an API error.","2","test_rename_wiki_page_logs_error","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperExceptions","test_unit_ado_wiki","",""
"Test deletion of a test plan with str parameter instead of int.","1","test_delete_test_plan_invalid_plan_id","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","2","test_create_branch_existing_exception","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test retrieval with an error caused by the API.","1","test_get_test_case_invalid","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","1","test_validate_toolkit_connection_failure","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_run_tool[delete_test_suite-delete_test_suite]","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","1","test_run_tool[delete_file-delete_file]","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test logger called when retrieval of a test case fails.","1","test_get_test_case_logs_error","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","1","test_run_tool[create_file-create_file]","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test successful rename of wiki page with version descriptor.","3","test_rename_wiki_page_success_with_version","src.tests.ado.wiki","Thu Mar 20 10:51:16 GMT 2025","passed","Thu Mar 20 10:51:16 GMT 2025","TestWikiApiWrapperPositive","test_unit_ado_wiki","",""
"","2","test_list_open_pull_requests_exception","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test behavior with invalid file content.","0","test_read_docx_from_bytes_invalid_format","src.tests.sharepoint","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestSharepointReadDocxFromBytes","test_sharepoin_utils","",""
"Test retrieval when no test case is found.","1","test_get_test_case_not_found","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","2","test_run_tool[get_wiki-get_wiki]","src.tests.ado.wiki","Thu Mar 20 10:51:15 GMT 2025","passed","Thu Mar 20 10:51:15 GMT 2025","TestWikiApiWrapperValidateToolkit","test_unit_ado_wiki","",""
"Test generation of diff when None is passed as parameters.","1","test_generate_diff_with_none_parameters","src.tests.ado","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestAdoUtils","test_ado_utils","",""
"Test behavior when MR contains no changes.","3","test_no_changes_in_mr","src.tests.gitlab","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestGitlabUtilsGetPosition","test_gitlab_utils","",""
"","1","test_run_tool[modify_wiki_page-modify_wiki_page]","src.tests.ado.wiki","Thu Mar 20 10:51:16 GMT 2025","passed","Thu Mar 20 10:51:16 GMT 2025","TestWikiApiWrapperValidateToolkit","test_unit_ado_wiki","",""
"","2","test_comment_on_pull_request_exception","src.tests.ado.repos","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test successful rename of wiki page without version descriptor.","0","test_rename_wiki_page_success_without_version","src.tests.ado.wiki","Thu Mar 20 10:51:16 GMT 2025","skipped","Thu Mar 20 10:51:16 GMT 2025","TestWikiApiWrapperPositive","test_unit_ado_wiki","",""
"","2","test_update_file_protected_branch","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","2","test_list_open_pull_requests_with_results","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test that `run` raises exception when tool list is empty.","2","test_run_with_empty_tool_list","src.tests","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestBaseToolApiWrapper","test_elitea_base_tool","",""
"Test successful creation of a test plan.","1","test_create_test_plan_success","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"Test successful deletion of a test plan.","1","test_delete_test_plan_success","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"Test successful retrieval of test cases from a suite.","2","test_get_test_cases_success","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","2","test_get_files_default_branch","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test successful deletion of a wiki page by ID.","1","test_delete_page_by_id_success","src.tests.ado.wiki","Thu Mar 20 10:51:16 GMT 2025","passed","Thu Mar 20 10:51:16 GMT 2025","TestWikiApiWrapperPositive","test_unit_ado_wiki","",""
"","3","test_list_pull_request_diffs_success","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_create_file_exception","src.tests.ado.repos","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","2","test_create_file_branch_does_not_exist_or_has_no_commits","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test logger called when API deletion fails","2","test_delete_test_suite_logs_error","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","2","test_run_tool[delete_page_by_id-delete_page_by_id]","src.tests.ado.wiki","Thu Mar 20 10:51:16 GMT 2025","passed","Thu Mar 20 10:51:16 GMT 2025","TestWikiApiWrapperValidateToolkit","test_unit_ado_wiki","",""
"Test successful modification of wiki page when wiki and page exist.","5","test_modify_wiki_page_success_with_existing_wiki_and_page","src.tests.ado.wiki","Thu Mar 20 10:51:16 GMT 2025","failed","Thu Mar 20 10:51:16 GMT 2025","TestWikiApiWrapperPositive","test_unit_ado_wiki","",""
"","2","test_get_files_exception","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","167","test_parse_pull_requests_single_input_not_list","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","1","test_wiki_validate_toolkit_exception","src.tests.ado.wiki","Thu Mar 20 10:51:15 GMT 2025","passed","Thu Mar 20 10:51:15 GMT 2025","TestWikiApiWrapperValidateToolkit","test_unit_ado_wiki","",""
"Test addition with missing required fields in parameters.","1","test_add_test_case_missing_field","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"Test that `run` successfully calls the correct tool by mode.","1","test_run_valid_mode","src.tests","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestBaseToolApiWrapper","test_elitea_base_tool","",""
"Test logger called when retrieval of test cases fails.","2","test_get_test_cases_logs_error","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"Test generation of diff when target text is empty.","1","test_generate_diff_with_empty_target","src.tests.ado","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestAdoUtils","test_ado_utils","",""
"Test successful extraction of diff positions.","3","test_get_diff_w_position_positive","src.tests.gitlab","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestGitlabUtilsGetDiffWPosition","test_gitlab_utils","",""
"Test extraction with an invalid wiki identifier.","2","test_get_wiki_page_by_id_invalid_identifier","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperNegative","test_unit_ado_wiki","",""
"","3","test_delete_file_exception","src.tests.ado.repos","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","2","test_get_pull_request_success","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_update_file_exception","src.tests.ado.repos","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","2","test_run_tool[list_files-list_files]","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test that the BaseAction is initialized with default values.","0","test_initialization_with_defaults","src.tests","Thu Mar 20 10:51:17 GMT 2025","skipped","Thu Mar 20 10:51:17 GMT 2025","TestBaseAction","test_base_tool","",""
"","2","test_parse_pull_requests_no_commits","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test rename with invalid wiki identifier.","2","test_rename_wiki_page_invalid_identifier","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperNegative","test_unit_ado_wiki","",""
"","3","test_comment_on_pull_request_success","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","1","test_run_tool[delete_test_plan-delete_test_plan]","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","2","test_read_file_success","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","4","test_update_file_success","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","1","test_run_tool[set_active_branch-set_active_branch]","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_list_branches_in_repo_exception","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","1","test_validate_toolkit_exception","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"Test logger called when retrieval of a single test suite fails.","2","test_get_test_suite_logs_error","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","2","test_parse_pull_requests_single","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test deletion of a test plan with exception in logger.","2","test_delete_test_plan_exception","src.tests.ado.test_plan","Thu Mar 20 10:51:14 GMT 2025","passed","Thu Mar 20 10:51:14 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"Test logger called when deletion fails due to an API error.","2","test_delete_page_by_id_logs_error","src.tests.ado.wiki","Thu Mar 20 10:51:17 GMT 2025","passed","Thu Mar 20 10:51:17 GMT 2025","TestWikiApiWrapperExceptions","test_unit_ado_wiki","",""
"","2","test_set_active_branch_failure","src.tests.ado.repos","Thu Mar 20 10:51:13 GMT 2025","passed","Thu Mar 20 10:51:13 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
